Date,HW Time (min),Other Work Time (min),Total (min),Notes
9/26,87,42,129,
9/27,90,27,117,
9/28,87,10,97,
9/29,0,0,0,Shabbat
9/30,61,68,129,
10/1,99,9,108,
10/2,50,75,125,
10/3,51,31,82,
10/4,30,0,30,
10/5,165,0,165,Sick day
10/6,2,2,4,
10/7,90,32,122,
10/8,30,0,30,
10/9,70,0,70,Prepped for quiz
10/10,0,0,0,
10/11,0,0,0,Fall Festival
10/12,85,0,85,Teacher in-Service
10/13,30,40,70,
10/14,65,0,65,
10/15,3,173,176,
10/16,45,0,45,Commons Duty
10/17,47,52,99,
10/18,73,50,123,
10/19,0,5,5,
10/20,85,148,233,Second to last weekend before ED
10/21,25,3,28,"Week of 10/21 contained two quizzes, one project, one foreign language writing assignment, and a 10-15 page writing assignment, in addition to other homework such as english readings, math readings, and discussion prep"
10/22,57,0,57,No school
10/23,85.0,21.0,106.0,
10/24,80,37,117,
10/25,160,3,163,
10/26,55,0,55,One month of records
10/27,15,72,87,Last Weekend before ED
10/28,23,116,139,
10/29,10,28,38,
10/30,0,52,52,
10/31,0,110,110,"Halloween, No school"
11/1,0,0,0,"ED Deadline, No school"
11/2,0,0,0,No school
11/3,117,435,552,SAT Subject Test in Bremerton :(
