"Grad Year,Course,Type,Year",,
"2018,Advanced Algebra,term grade,2015 - 2016",,
"2018,Advanced Algebra,term grade,2015 - 2016",,
"2018,Advanced Algebra,regular grade,2015 - 2",16,
"2018,Advanced Algebra,term grade,2015 - 2016",,
"2018,Geometry,term grade,2014 - 2015",,
"2018,Geometry,term grade,2014 - 2015",,
"2018,Geometry,term grade,2014 - 2015",,
"2018,Geometry,regular grade,2014 - 2015",,
"2018,Introductory Calculus,term grade,2017 -",20,18
"2018,Introductory Calculus,term grade,2017 -",20,18
"2018,Introductory Calculus,term grade,2017 -",20,18
"2018,Introductory Calculus,regular grade,201",-7,2018
"2018,Math Analysis,term grade,2016 - 2017",,
"2018,Math Analysis,term grade,2016 - 2017",,
"2018,Math Analysis,term grade,2016 - 2017",,
"2018,Math Analysis,regular grade,2016 - 2017",,
",Advanced Algebra,term grade,2017 - 2018",,
",Algebra I,term grade,2015 - 2016",,
",Algebra I,term grade,2015 - 2016",,
",Algebra I,regular grade,2015 - 2016",,
",Algebra I,term grade,2015 - 2016",,
",Geometry,term grade,2016 - 2017",,
",Geometry,term grade,2016 - 2017",,
",Geometry,term grade,2016 - 2017",,
",Geometry,regular grade,2016 - 2017",,
"2011,Advanced Calculus,final term grade,2009",-,2010
"2011,Advanced Calculus,final term grade,2009",-,2010
"2011,Advanced Calculus,final term grade,2009",-,2010
"2011,Advanced Calculus,final course grade,20",9,-2010
"2011,Advanced Topics,final course grade,2009",-,2010
"2011,Advanced Topics,final course grade,2009",-,2010
"2011,Introduction to Programming I,final cou",rse,"grade,2009 - 2010"
"2011,Multivariable Calculus,final term grade",",20",Oct-11
"2011,Multivariable Calculus,final term grade",",20",Oct-11
"2011,Multivariable Calculus,final term grade",",20",Oct-11
"2011,Multivariable Calculus,final course gra","de,",2010 - 2011
"2021,Advanced Algebra,term grade,2017 - 2018",,
"2021,Advanced Algebra,term grade,2017 - 2018",,
"2021,Advanced Algebra,term grade,2017 - 2018",,
"2021,Advanced Algebra,regular grade,2017 - 2",18,
"2015,Advanced Algebra,term grade,2012 - 2013",,
"2015,Advanced Algebra,term grade,2012 - 2013",,
"2015,Advanced Algebra,term grade,2012 - 2013",,
"2015,Advanced Algebra,regular grade,2012 - 2",13,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,regular grade,2014",-2,15
"2015,Geometry,final term grade,2011 - 2012",,
"2015,Geometry,final term grade,2011 - 2012",,
"2015,Geometry,final term grade,2011 - 2012",,
"2015,Geometry,final course grade,2011 - 2012",,
"2015,Precalculus Topics,term grade,2013 - 20",14,
"2015,Probabilty & Statistics,term grade,2013",-,2014
"2015,Trigonometry & Functions,term grade,201",-3,2014
"2017,Advanced Algebra,term grade,2014 - 2015",,
"2017,Advanced Algebra,term grade,2014 - 2015",,
"2017,Advanced Algebra,term grade,2014 - 2015",,
"2017,Advanced Algebra,regular grade,2014 - 2",15,
"2017,Advanced Statistics,term grade,2016 - 2",17,
"2017,Advanced Statistics,term grade,2016 - 2",17,
"2017,Advanced Statistics,term grade,2016 - 2",17,
"2017,Advanced Statistics,regular grade,2016",-2,17
"2017,Geometry,term grade,2013 - 2014",,
"2017,Geometry,term grade,2013 - 2014",,
"2017,Geometry,term grade,2013 - 2014",,
"2017,Geometry,regular grade,2013 - 2014",,
"2017,Math Analysis,term grade,2015 - 2016",,
"2017,Math Analysis,term grade,2015 - 2016",,
"2017,Math Analysis,regular grade,2015 - 2016",,
"2017,Math Analysis,term grade,2015 - 2016",,
"2015,Advanced Algebra,term grade,2013 - 2014",,
"2015,Advanced Algebra,term grade,2013 - 2014",,
"2015,Advanced Algebra,term grade,2013 - 2014",,
"2015,Advanced Algebra,regular grade,2013 - 2",14,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,term grade,2014 - 2",15,
"2015,Advanced Statistics,regular grade,2014",-2,15
"2015,Algebra I,final term grade,2011 - 2012",,
"2015,Algebra I,final term grade,2011 - 2012",,
"2015,Algebra I,final term grade,2011 - 2012",,
"2015,Algebra I,final course grade,2011 - 201",2,
"2015,Geometry,term grade,2012 - 2013",,
"2015,Geometry,term grade,2012 - 2013",,
"2015,Geometry,term grade,2012 - 2013",,
"2015,Geometry,regular grade,2012 - 2013",,
"2019,Advanced Algebra,term grade,2017 - 2018",,
"2019,Advanced Algebra,term grade,2017 - 2018",,
