grade_mode,course_title,Gender,grad_year,course_length,school_year,term_description
term grade,Advanced Algebra,Female,2018,1,2015 - 2016,Fall Term
term grade,Advanced Algebra,Female,2018,1,2015 - 2016,Spring Term
regular grade,Advanced Algebra,Female,2018,1,2015 - 2016,Spring Term
term grade,Advanced Algebra,Female,2018,1,2015 - 2016,Winter Term
term grade,Geometry,Female,2018,1,2014 - 2015,Fall Term
term grade,Geometry,Female,2018,1,2014 - 2015,Winter Term
term grade,Geometry,Female,2018,1,2014 - 2015,Spring Term
regular grade,Geometry,Female,2018,1,2014 - 2015,Spring Term
term grade,Introductory Calculus,Female,2018,1,2017 - 2018,Fall Term
term grade,Introductory Calculus,Female,2018,1,2017 - 2018,Winter Term
term grade,Introductory Calculus,Female,2018,1,2017 - 2018,Spring Term
regular grade,Introductory Calculus,Female,2018,1,2017 - 2018,Spring Term
term grade,Math Analysis,Female,2018,1,2016 - 2017,Winter Term
term grade,Math Analysis,Female,2018,1,2016 - 2017,Fall Term
term grade,Math Analysis,Female,2018,1,2016 - 2017,Spring Term
regular grade,Math Analysis,Female,2018,1,2016 - 2017,Spring Term
term grade,Advanced Algebra,Female,,1,2017 - 2018,Fall Term
term grade,Algebra I,Female,,1,2015 - 2016,Fall Term
term grade,Algebra I,Female,,1,2015 - 2016,Spring Term
regular grade,Algebra I,Female,,1,2015 - 2016,Spring Term
term grade,Algebra I,Female,,1,2015 - 2016,Winter Term
term grade,Geometry,Female,,1,2016 - 2017,Fall Term
term grade,Geometry,Female,,1,2016 - 2017,Winter Term
term grade,Geometry,Female,,1,2016 - 2017,Spring Term
regular grade,Geometry,Female,,1,2016 - 2017,Spring Term
final term grade,Advanced Calculus,Male,2011,3,2009 - 2010,Fall Term
final term grade,Advanced Calculus,Male,2011,3,2009 - 2010,Winter Term
final term grade,Advanced Calculus,Male,2011,3,2009 - 2010,Spring Term
final course grade,Advanced Calculus,Male,2011,3,2009 - 2010,Spring Term
final course grade,Advanced Topics,Male,2011,1,2009 - 2010,Winter Term
final course grade,Advanced Topics,Male,2011,1,2009 - 2010,Fall Term
final course grade,Introduction to Programming I,Male,2011,1,2009 - 2010,Spring Term
final term grade,Multivariable Calculus,Male,2011,3,2010 - 2011,Fall Term
final term grade,Multivariable Calculus,Male,2011,3,2010 - 2011,Winter Term
final term grade,Multivariable Calculus,Male,2011,3,2010 - 2011,Spring Term
final course grade,Multivariable Calculus,Male,2011,3,2010 - 2011,Spring Term
term grade,Advanced Algebra,Female,2021,1,2017 - 2018,Fall Term
term grade,Advanced Algebra,Female,2021,1,2017 - 2018,Winter Term
term grade,Advanced Algebra,Female,2021,1,2017 - 2018,Spring Term
regular grade,Advanced Algebra,Female,2021,1,2017 - 2018,Spring Term
term grade,Advanced Algebra,Female,2015,1,2012 - 2013,Fall Term
term grade,Advanced Algebra,Female,2015,1,2012 - 2013,Winter Term
term grade,Advanced Algebra,Female,2015,1,2012 - 2013,Spring Term
regular grade,Advanced Algebra,Female,2015,1,2012 - 2013,Spring Term
term grade,Advanced Statistics,Female,2015,1,2014 - 2015,Fall Term
term grade,Advanced Statistics,Female,2015,1,2014 - 2015,Winter Term
term grade,Advanced Statistics,Female,2015,1,2014 - 2015,Spring Term
regular grade,Advanced Statistics,Female,2015,1,2014 - 2015,Spring Term
final term grade,Geometry,Female,2015,3,2011 - 2012,Winter Term
